product_category,total_orders,avg_delivery_days
"office_furniture",1254,20.39
"christmas_supplies",125,15.30
"fashion_shoes",235,14.93
"home_appliances_2",227,13.42
"furniture_living_room",414,13.29
"fashion_underwear_beach",117,13.28
"garden_tools",3448,13.23
"consoles_games",1018,13.14
"computers",177,13.05
"home_confort",392,13.04
"audio",348,12.88
"computers_accessories",6529,12.78
"home_construction",483,12.76
"musical_instruments",611,12.50
"fashion_male_clothing",106,12.47
"electronics",2517,12.42
"furniture_decor",6307,12.40
"telephony",4093,12.38
"bed_bath_table",9272,12.34
"stationery",2264,12.28
"fixed_telephony",212,12.24
"watches_gifts",5493,12.19
"baby",2809,12.06
"cool_stuff",3559,11.90
"air_conditioning",246,11.79
"auto",3809,11.77
"sports_leisure",7529,11.69
"market_place",274,11.68
"health_beauty",8647,11.52
"kitchen_dining_laundry_garden_furniture",241,11.45
"costruction_tools_garden",190,11.43
"construction_tools_safety",159,11.43
"perfumery",3086,11.28
"toys",3803,11.23
"agro_industry_and_commerce",177,11.22
"books_general_interest",495,11.17
"art",195,10.87
"home_appliances",747,10.87
"pet_shop",1688,10.76
"fashion_bags_accessories",1820,10.61
"housewares",5743,10.46
"food_drink",221,10.45
"small_appliances",609,10.33
"industry_commerce_and_business",231,10.31
"construction_tools_construction",736,10.29
"books_technical",256,10.23
"luggage_accessories",1019,10.19
"drinks",287,10.02
"signaling_and_security",138,9.97
"construction_tools_lights",242,9.25
"food",441,9.10
