seller_id,seller_state,total_orders,avg_delivery_days,avg_delay_days
54965bbe3e4f07ae045b90b0b8541f52,PR,73,26.23,-1.72
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,96,16.52,-3.84
d13e50eaa47b4cbe9eb81465865d8cfc,SP,66,4.57,-4.01
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,74,19.43,-4.24
d20b021d3efdf267a402c402a48ea64b,SP,86,16.12,-5.02
8e6d7754bc7e0f22c96d255ebda59eba,SP,84,13.57,-5.42
e5a3438891c0bfdb9394643f95273d8e,SP,216,14.90,-5.89
1ca7077d890b907f89be8c954a02686a,SP,108,14.51,-6.06
2c9e548be18521d1c43cde1c582c6de8,SP,124,13.31,-6.09
bbad7e518d7af88a0897397ffdca1979,SP,68,14.79,-6.25
6039e27294dc75811c0d8a39069f52c0,SP,63,17.47,-6.35
42b729f859728f5079499127a9c2ef37,SP,103,7.46,-6.37
6973a06f484aacf400ece213dbf3d946,SP,89,14.59,-6.62
1eade46fba20122dc4aefb379f8c636b,SP,58,11.52,-6.65
431af27f296bc6519d890aa5a05fdb11,SP,116,16.48,-6.69
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,16.37,-6.73
cd68562d3f44870c08922d380acae552,SP,122,16.29,-6.78
688756f717c462a206ad854c5027a64a,SP,81,10.35,-6.80
ea566164622c6b439516ab18062c42cd,SP,50,13.81,-7.02
37515688008a7a40ac93e3b2e4ab203f,SP,227,14.63,-7.20
9c0e69c7bf2619675bbadf47b43f655a,SP,151,14.73,-7.23
dd7ddc04e1b6c2c614352b383efe2d36,SP,121,14.35,-7.23
f3da5b2ff499efb8d4a6d371d175d7dd,SP,77,10.88,-7.33
002100f778ceb8431b7a1020ff7ab48f,SP,50,15.78,-7.35
f84fa566034f5e8e880a07ec624c56af,SP,89,11.07,-7.40
adbc26658d6c7b4b6219f9d934598091,PR,88,16.80,-7.53
ba143b05f0110f0dc71ad71b4466ce92,SP,83,9.89,-7.61
d9bd94811c3338dceb4181f3dbc0c73e,SP,54,7.26,-7.64
4c2b230173bb36f9b240f2b8ac11786e,SP,258,12.38,-7.73
900ba814c251a692506d7834c1218441,SP,86,12.08,-7.73
b2479f944e1b90cf8a5de1bbfde284d6,SP,101,14.98,-7.73
50c9975695009e5e6473912e83a6d1da,MG,50,14.65,-7.84
99eaacc9e6046db1c82b163c5f84869f,SP,63,14.52,-7.88
b561927807645834b59ef0d16ba55a24,SP,85,12.03,-7.91
11bfa66332777660bd0640ee84d47006,SP,76,15.73,-8.00
5d0363b33554b373851fc1622e4d5f3c,SP,93,12.34,-8.09
f7ccf836d21b2fb1de37564105216cc1,SP,69,10.64,-8.11
855668e0971d4dfd7bef1b6a4133b41b,SP,300,15.72,-8.17
c70c1b0d8ca86052f45a432a38b73958,SP,260,7.24,-8.23
fcb5ace8bcc92f75707dc0f01a27d269,SP,59,9.94,-8.23
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,61,10.49,-8.27
8581055ce74af1daba164fdbd55a40de,SP,379,12.34,-8.27
f46490624488d3ff7ce78613913a7711,SP,80,9.59,-8.28
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,12.67,-8.32
2a261b5b644fa05f4f2700eb93544f2c,SP,51,14.04,-8.33
e62b2d6ac10570a035a30bafcf01d263,SP,62,14.27,-8.34
7d76b645482be4a332374e8223836592,SP,172,12.81,-8.43
2ff97219cb8622eaf3cd89b7d9c09824,SP,87,8.33,-8.46
4b9750c8ad28220fe6702d4ecb7c898f,SP,217,8.95,-8.46
3c7c4a49ec3c6550809089c6a2ca9370,SP,139,9.35,-8.52
7681ef142fd2c19048da7430856b5588,SP,58,9.88,-8.53
a673821011d0cec28146ea42f5ab767f,SP,125,12.02,-8.53
318f287a62ab7ac10b703ac37435a231,SP,51,11.72,-8.59
834f3294fba9f932f56edc879193f925,SP,66,13.88,-8.62
080199a181c46c657dc5aa235411be3b,SP,79,7.63,-8.67
6860153b69cc696d5dcfe1cdaaafcf62,SP,74,9.77,-8.69
a6fe7de3d16f6149ffe280349a8535a0,SP,50,14.35,-8.69
7aa4334be125fcdd2ba64b3180029f14,SP,214,15.51,-8.70
4a3ca9315b744ce9f8e9374361493884,SP,1772,13.94,-8.75
fd386aa7bed2af3c7035c65506c9b4a3,SP,69,7.83,-8.75
16090f2ca825584b5a147ab24aa30c86,SP,398,8.75,-8.77
897060da8b9a21f655304d50fd935913,SP,304,14.39,-8.79
e9d99831abad74458942f21e16f33f92,SP,130,12.11,-8.82
0c7533c71df861ec58ad7ff999ed0e8d,SP,61,10.15,-8.85
8f2ce03f928b567e3d56181ae20ae952,SP,151,13.97,-8.86
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,81,17.76,-8.87
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,107,15.26,-8.89
e9779976487b77c6d4ac45f75ec7afe9,SP,645,9.39,-8.89
beadbee30901a7f61d031b6b686095ad,SP,64,13.06,-8.90
c826c40d7b19f62a09e2d7c5e7295ee2,SP,346,12.75,-8.99
d9a84e1403de8da0c3aa531d6d108ba6,SP,53,7.03,-9.00
f262cbc1c910c83959f849465454ddd3,SP,189,8.50,-9.00
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,23.39,-9.02
c3867b4666c7d76867627c2f7fb22e21,SP,228,14.77,-9.04
05f51e13da97139648b8125c31e5f51b,MG,57,11.92,-9.10
8b321bb669392f5163d04c59e235e066,SP,930,12.17,-9.11
b2ba3715d723d245138f291a6fe42594,SP,324,13.48,-9.13
048c2757535328e0d7dac690ad3c0aae,SP,50,18.04,-9.14
48436dade18ac8b2bce089ec2a041202,SP,134,13.72,-9.18
