delivery_days,review_score
7,5
16,4
7,5
6,4
25,5
6,4
8,4
5,5
9,1
2,4
4,5
10,5
6,5
12,5
7,5
5,4
6,1
7,5
18,3
3,3
17,3
15,4
9,4
11,5
10,5
10,4
15,5
1,5
14,5
17,4
18,2
16,5
18,5
7,1
23,5
46,1
9,5
10,5
21,4
8,5
11,5
27,2
11,1
21,5
15,5
10,5
16,1
4,4
9,5
10,4
5,5
9,5
21,5
7,4
23,5
23,4
4,5
11,4
9,5
31,4
18,5
13,4
8,5
5,4
8,5
21,4
8,5
8,5
3,4
7,3
4,5
3,5
42,1
21,5
23,5
50,1
11,1
8,5
1,5
16,3
10,5
11,5
11,5
13,4
5,5
20,2
10,5
24,4
5,5
14,5
8,5
20,1
3,5
10,3
54,4
7,4
26,5
35,1
2,5
10,5
22,2
12,5
1,1
7,5
17,4
19,5
8,5
5,5
3,5
20,5
1,5
31,1
8,5
3,5
9,5
6,5
1,5
23,3
21,5
5,5
14,3
8,1
15,5
19,4
11,5
2,5
12,1
3,5
21,5
18,5
17,5
9,1
34,3
16,5
26,5
5,4
12,5
3,5
7,5
9,4
5,5
9,5
19,5
37,1
16,1
6,5
7,5
9,5
7,5
3,5
5,5
2,5
6,4
8,5
5,4
13,2
2,5
9,4
8,4
2,5
9,5
12,4
18,5
15,5
5,5
2,5
11,4
20,2
12,5
11,5
7,3
4,2
14,5
12,3
50,1
8,4
4,5
1,5
2,3
8,5
24,5
31,1
8,1
4,4
5,5
6,3
9,5
23,5
2,1
10,5
7,5
9,5
4,4
7,5
14,5
7,4
2,5
15,1
11,5
6,4
22,5
68,4
43,2
2,5
5,4
16,1
12,3
13,4
13,5
7,1
7,4
6,5
20,5
11,5
24,4
12,5
1,4
5,5
22,1
1,5
3,2
6,1
10,5
19,5
11,5
10,5
15,5
10,3
8,4
9,3
11,5
7,4
4,5
12,4
12,2
11,5
31,3
13,2
14,5
12,5
5,5
7,3
6,4
17,5
17,5
1,5
13,4
8,5
7,5
6,4
7,5
12,3
6,4
10,1
5,5
12,5
25,5
15,5
9,5
5,4
8,5
4,3
12,1
7,4
4,5
6,5
6,5
4,2
36,5
22,1
9,5
8,1
26,5
2,5
41,4
3,5
9,4
12,4
5,5
12,5
13,5
16,5
4,3
12,1
8,4
9,5
9,4
9,4
7,1
18,5
7,5
10,4
5,5
12,5
6,4
12,5
50,1
9,5
96,1
14,5
8,5
7,5
8,5
14,5
35,3
8,5
4,5
7,5
21,4
25,3
21,4
21,5
19,5
5,5
6,5
57,4
22,3
13,4
8,1
7,5
9,5
12,5
11,5
6,5
11,5
3,5
21,4
8,4
7,1
23,5
10,4
10,1
7,5
3,5
13,5
34,4
9,4
5,5
11,1
10,5
8,4
7,5
4,5
12,3
17,4
23,5
12,5
7,5
11,4
8,5
6,3
15,5
12,5
10,5
10,5
4,5
11,5
13,1
9,5
8,5
5,3
21,5
7,5
19,5
7,5
1,5
13,5
10,4
9,5
9,5
27,1
21,5
7,5
6,5
18,5
24,4
2,5
20,5
5,5
10,5
8,5
18,5
5,5
16,5
12,4
9,3
6,5
15,1
6,4
8,4
9,5
24,4
7,3
26,5
8,4
7,2
23,1
19,1
12,5
13,5
21,2
4,4
4,4
11,3
4,5
13,5
24,4
20,1
6,2
8,5
5,5
9,5
4,5
8,5
10,5
3,1
22,5
27,5
12,1
15,2
3,5
8,2
32,2
15,5
9,5
7,5
6,4
16,5
12,4
14,5
13,5
5,5
6,5
7,4
9,4
10,1
41,1
8,5
9,5
12,4
7,5
20,5
14,4
5,3
5,5
5,3
10,5
3,5
5,5
7,5
6,5
16,4
16,5
13,5
1,5
9,5
12,4
1,5
1,5
7,4
11,3
8,5
2,3
7,5
16,3
3,5
5,3
21,2
8,4
7,5
54,1
26,5
10,3
18,4
9,5
18,5
3,5
4,5
8,4
7,5
9,5
4,4
2,5
8,4
7,2
8,5
41,1
21,4
7,5
6,1
13,2
8,5
5,5
3,5
6,4
5,5
23,5
1,5
4,4
11,5
1,3
7,4
11,5
3,5
13,1
3,4
8,5
11,2
20,3
17,1
3,5
16,5
2,5
2,5
6,5
25,4
4,4
16,5
6,3
6,5
12,5
10,4
8,5
8,5
57,1
11,5
3,5
5,3
12,5
8,5
9,5
6,4
9,5
7,3
14,4
21,3
7,5
8,5
8,5
8,3
4,5
4,5
8,5
14,2
13,5
1,5
3,5
14,5
10,4
16,4
20,1
13,5
14,5
9,3
11,5
8,5
14,5
17,3
12,1
7,5
5,5
9,5
5,5
5,5
8,5
9,2
21,5
12,2
18,5
11,5
5,5
14,5
10,5
13,5
3,5
6,4
13,5
19,5
24,5
2,1
7,5
26,5
6,4
12,5
20,5
10,4
4,5
6,5
8,5
15,5
1,2
5,5
9,3
10,1
7,5
10,4
22,4
45,1
15,5
44,1
4,5
19,4
19,4
8,3
21,3
11,5
6,5
9,1
5,1
14,3
15,1
14,4
11,5
2,5
3,4
14,3
11,5
8,4
15,4
7,5
4,1
28,1
9,5
8,3
46,1
15,4
5,5
53,1
8,5
9,5
12,5
11,5
5,5
24,2
13,5
12,5
9,5
16,3
7,5
17,2
7,5
5,4
13,5
15,5
18,5
8,1
41,1
11,5
14,5
6,5
20,4
16,3
8,4
13,5
12,4
13,5
15,5
12,5
40,1
4,5
28,4
16,5
12,5
10,4
1,5
16,5
15,5
4,5
22,4
7,5
46,1
15,5
4,4
13,1
1,2
9,4
10,5
8,5
16,5
21,5
9,4
7,5
5,4
13,1
18,3
33,1
5,5
13,5
16,5
12,5
10,5
7,5
6,1
26,1
7,5
1,5
5,4
9,5
27,5
15,4
8,5
5,5
4,3
6,5
12,4
16,5
9,5
4,5
7,5
7,5
17,3
14,3
9,5
18,5
21,5
9,5
16,5
6,5
10,5
2,4
18,5
14,5
13,5
4,4
9,1
17,4
6,5
8,5
1,5
4,5
4,5
2,5
65,1
8,3
26,2
17,4
8,5
12,5
8,4
11,5
4,5
18,5
3,5
7,5
5,5
12,5
4,5
2,5
15,5
7,4
15,5
13,4
16,4
14,5
2,1
2,5
6,5
13,5
6,5
6,5
46,4
7,4
5,5
8,5
4,4
13,5
14,5
6,5
22,5
2,3
15,5
26,5
2,1
10,3
19,5
2,2
11,5
5,5
10,5
27,2
21,1
9,5
1,5
22,1
14,4
8,5
8,5
13,3
12,5
24,4
4,3
8,5
6,5
44,3
6,3
9,5
3,4
3,2
9,5
8,3
9,5
8,5
10,1
12,4
8,3
7,5
13,5
14,5
13,5
17,5
35,1
7,5
7,4
6,5
13,5
40,1
40,3
7,5
3,5
20,4
15,5
7,5
8,2
30,4
18,4
7,5
2,5
5,5
6,1
8,5
4,5
6,5
33,1
10,5
36,1
1,5
16,4
8,2
6,5
14,5
9,4
8,5
31,5
13,5
27,1
6,4
49,1
10,5
10,5
10,4
12,5
1,1
2,4
32,4
10,5
4,5
11,5
11,5
9,4
3,5
22,1
4,5
12,4
17,5
7,5
33,1
8,4
13,4
18,4
19,5
19,4
13,5
13,5
12,3
5,5
5,5
9,5
4,5
5,5
14,4
13,5
6,5
17,3
17,5
23,5
16,4
3,1
17,4
15,4
25,5
8,5
20,5
3,5
12,5
18,5
6,4
15,3
23,5
2,3
37,1
20,5
3,4
13,4
7,5
28,5
9,4
21,5
3,5
10,5
15,5
11,5
3,5
9,5
8,5
7,5
9,5
15,4
25,5
21,5
3,5
35,2
32,1
15,5
19,3
4,5
11,5
11,4
4,5
15,5
11,4
5,5
6,1
11,5
9,5
49,1
11,5
10,5
12,5
2,4
12,5
12,5
15,5
5,5
11,5
5,5
16,4
7,1
4,5
8,3
29,2
2,5
6,5
23,2
2,5
2,2
4,5
6,5
17,5
17,3
4,5
4,4
20,5
4,5
17,3
14,5
7,5
7,4
7,5
9,4
9,5
10,5
7,5
9,1
15,4
13,5
11,5
13,1
2,5
11,4
1,5
9,5
4,4
33,5
9,5
6,5
10,5
7,5
8,5
21,5
19,4
10,5
7,5
5,5
32,1
13,3
6,2
4,5
12,5
7,5
4,4
5,4
8,5
12,1
26,5
7,3
10,5
13,5
11,5
10,5
7,5
8,5
7,5
9,4
18,5
2,5
12,5
4,4
4,4
9,5
17,5
19,4
7,5
2,5
15,5
13,4
12,3
13,3
5,5
9,5
5,5
10,5
12,5
32,1
7,4
8,5
3,1
17,5
4,1
16,5
7,5
32,1
10,4
6,1
7,2
12,5
5,5
10,5
51,1
9,3
15,5
4,4
8,5
23,3
9,4
5,5
17,5
12,1
9,5
4,4
5,5
5,3
7,5
14,3
8,3
19,3
15,5
7,5
20,5
14,1
6,4
6,4
8,1
10,5
8,5
7,5
17,5
9,5
12,5
20,4
4,1
19,5
16,4
7,3
14,5
9,5
9,3
11,4
4,4
2,5
1,5
6,4
5,4
16,1
7,5
15,5
4,5
20,3
8,5
27,5
17,5
4,2
10,1
2,5
13,5
20,5
10,5
8,5
3,5
6,5
10,1
11,5
9,3
17,5
11,5
26,4
3,5
4,1
17,5
19,5
8,5
5,1
14,5
11,5
7,5
17,1
7,5
11,4
7,5
5,5
4,4
23,4
17,5
5,1
6,4
12,5
4,5
10,5
19,4
26,4
7,5
26,3
12,5
5,5
16,4
15,5
2,5
8,5
5,1
8,5
9,4
17,3
20,5
166,1
7,5
14,5
3,1
22,1
5,5
12,5
5,5
6,5
13,5
21,5
6,3
8,5
4,5
2,5
7,5
5,5
14,5
21,2
10,4
9,3
25,4
9,4
8,5
8,5
4,5
5,5
15,5
4,5
17,4
14,5
13,5
18,1
18,5
11,5
11,5
3,4
22,3
12,3
11,5
8,4
18,4
6,4
5,5
5,5
4,5
11,5
8,5
5,5
25,4
10,5
15,4
18,3
7,1
13,5
8,5
21,4
7,5
11,4
14,4
3,5
7,4
15,3
5,5
24,3
14,5
28,5
4,5
2,3
6,5
2,5
11,4
24,5
5,5
10,5
19,4
4,4
6,5
2,5
14,5
4,4
9,5
9,4
14,4
7,5
11,4
4,2
13,4
4,4
36,1
17,5
17,5
6,5
11,5
35,5
8,4
14,3
25,1
9,5
2,5
5,5
12,5
12,3
9,5
8,5
20,4
62,5
14,5
4,5
14,5
41,1
16,5
6,3
5,5
18,5
12,3
15,4
8,5
14,5
19,4
7,5
7,5
7,4
10,4
7,5
14,4
7,3
36,4
11,4
6,5
10,4
17,3
17,4
6,3
8,5
11,5
6,5
4,5
12,3
8,5
9,3
20,1
7,4
7,5
9,1
21,4
5,5
15,2
4,5
7,5
12,5
4,4
14,1
10,5
26,4
11,3
8,4
2,5
7,5
7,5
19,5
15,2
5,3
36,3
8,5
6,5
22,5
12,5
4,5
3,5
20,5
5,5
17,4
19,5
6,5
6,5
30,2
3,4
9,4
5,5
8,5
7,4
10,5
5,1
2,5
26,3
6,5
11,5
2,5
11,5
26,5
4,4
21,3
28,4
12,4
13,5
12,5
9,2
8,5
6,1
12,4
7,4
16,5
5,5
1,5
70,1
18,4
3,5
9,3
6,5
3,4
7,5
1,5
7,4
8,5
13,5
19,5
8,4
10,5
19,1
6,5
8,5
4,5
12,5
22,4
14,3
6,1
4,4
13,4
21,5
7,5
10,4
50,1
11,4
12,4
5,5
3,5
2,5
16,5
7,5
3,5
18,5
2,5
4,5
3,5
19,5
34,1
10,5
10,5
9,4
13,3
48,3
16,1
16,5
1,5
2,5
2,4
11,4
30,1
22,5
2,5
10,5
25,2
13,5
23,1
7,5
20,5
4,5
15,5
11,5
10,4
22,3
22,3
22,4
13,5
18,1
5,5
16,5
4,5
3,5
13,5
10,5
8,5
30,1
11,5
14,5
4,5
7,5
12,5
14,3
6,5
5,5
9,5
7,4
19,3
11,5
4,5
5,3
11,5
24,4
11,4
7,5
13,5
5,4
9,5
2,5
7,4
25,2
22,3
10,5
8,5
9,5
14,5
19,5
17,5
12,5
24,5
7,4
2,5
2,5
10,5
49,1
6,5
4,5
13,4
13,5
4,5
9,3
7,5
10,2
13,4
8,5
2,5
8,1
1,3
11,2
8,4
8,2
1,1
7,4
25,5
11,2
11,4
24,3
8,4
10,5
10,3
23,1
3,5
20,4
7,5
7,5
7,5
6,5
15,5
3,3
20,5
31,5
8,4
5,5
37,1
9,1
27,5
8,5
1,4
7,5
41,2
33,2
7,5
5,5
6,5
14,5
9,5
14,4
7,1
8,4
11,3
1,5
7,5
8,5
7,5
12,4
13,5
16,5
6,5
2,5
16,5
9,5
11,5
15,4
12,5
18,4
7,4
34,3
11,5
10,5
12,4
1,5
4,4
15,4
9,5
19,5
11,4
13,4
6,5
15,2
16,5
2,5
17,5
12,4
7,4
10,5
24,4
15,4
4,5
11,4
20,3
6,5
19,5
17,4
18,5
20,5
7,5
6,4
20,5
10,5
37,4
6,5
18,2
17,4
3,5
3,3
14,5
5,5
5,4
2,5
4,5
5,5
13,5
11,5
18,3
2,5
13,5
1,2
13,4
5,5
7,5
14,1
22,5
4,5
9,1
9,5
6,5
13,4
9,5
11,5
8,4
8,2
34,3
20,5
10,5
12,4
3,5
8,5
5,5
18,5
21,4
8,5
18,5
9,1
5,5
15,4
3,4
11,5
24,4
7,4
6,4
8,5
7,5
6,5
14,5
5,5
4,5
17,5
8,4
6,2
7,5
10,3
20,2
22,5
4,5
7,4
6,5
23,5
16,5
2,5
7,5
10,5
25,1
27,3
4,5
6,5
8,5
6,5
3,5
15,5
3,5
7,5
11,1
3,1
13,1
12,4
4,5
3,5
4,5
8,4
42,1
22,5
17,4
7,5
9,5
11,4
1,5
2,5
8,5
15,5
25,2
6,5
17,4
3,5
3,5
22,4
8,5
10,5
9,5
18,1
9,5
14,5
5,4
10,4
2,1
7,2
12,5
8,5
8,5
9,5
7,5
8,5
18,5
8,5
8,5
9,4
13,5
16,1
25,1
10,5
6,4
10,3
6,4
14,3
7,5
6,5
6,5
4,4
7,5
6,5
4,4
6,4
3,5
16,4
16,5
8,5
10,5
15,5
9,4
15,5
5,5
8,5
6,5
16,4
13,5
13,1
10,3
5,4
21,5
6,5
3,5
5,5
8,5
3,5
3,3
12,5
4,5
22,5
11,5
10,5
10,5
15,5
3,5
10,5
8,5
8,4
2,5
14,1
22,5
2,4
10,5
11,5
9,5
4,5
7,5
17,4
6,5
7,4
9,5
7,3
6,5
9,4
36,1
9,5
8,4
15,5
13,4
29,5
21,5
9,4
16,5
20,4
2,4
5,5
15,4
22,3
6,4
7,3
5,5
19,5
9,5
5,5
14,5
25,3
30,1
4,5
12,5
7,5
2,2
12,5
5,3
4,5
26,1
7,5
8,5
31,4
12,3
13,5
6,5
1,5
3,5
19,4
23,1
10,5
4,4
8,5
10,5
16,4
33,1
16,5
12,1
8,2
24,3
5,5
9,1
4,5
4,4
10,5
8,5
13,5
13,5
14,5
8,5
14,3
14,5
6,5
5,4
3,5
14,5
2,5
6,5
9,5
22,5
14,5
10,5
52,1
18,5
14,4
6,5
6,5
4,4
7,5
12,5
5,5
4,5
10,4
4,5
1,5
21,5
10,3
6,5
7,5
10,5
6,4
13,3
10,5
9,3
31,1
24,5
6,5
26,1
9,1
18,1
18,5
6,4
8,4
12,4
2,5
26,5
1,5
1,5
21,5
7,4
12,5
3,5
13,5
20,5
10,4
5,5
14,3
4,5
16,5
26,3
14,1
5,5
11,4
4,5
4,5
13,5
7,5
22,5
19,4
2,5
4,4
15,5
15,5
20,5
38,1
12,5
31,1
30,4
8,5
8,4
11,1
6,5
17,5
7,5
1,4
12,1
25,5
8,5
3,5
19,4
9,5
43,1
11,5
6,5
10,1
11,5
11,5
6,5
3,5
7,5
6,5
11,3
5,1
5,5
6,5
11,5
15,5
14,5
12,4
3,5
15,5
9,5
11,5
4,1
21,5
7,5
4,5
10,5
7,5
20,5
5,5
22,5
2,5
20,3
12,3
6,5
16,4
7,1
13,5
18,3
4,4
8,4
6,5
17,4
7,5
16,5
20,4
24,5
30,1
4,5
6,5
3,5
8,1
12,5
7,5
14,3
11,5
5,4
10,4
8,4
5,5
19,2
20,5
10,5
21,4
4,5
8,1
9,5
6,4
10,5
13,3
12,5
7,5
1,5
18,1
18,4
19,5
6,5
3,5
3,5
9,5
10,4
10,5
7,3
12,1
7,5
12,4
9,5
7,5
55,3
13,2
10,5
4,5
9,3
17,5
16,5
11,1
7,5
8,5
15,5
4,4
7,5
9,5
14,4
17,4
24,4
3,5
11,4
12,3
11,5
11,5
12,4
22,5
5,5
5,3
8,5
20,2
11,5
27,1
17,4
6,5
5,4
4,3
6,3
50,3
11,5
10,4
7,5
8,5
6,5
7,4
14,5
5,1
15,4
23,5
9,1
12,3
13,5
7,5
10,5
4,5
4,5
2,5
8,3
10,5
4,5
8,5
14,5
8,5
6,5
9,4
9,4
14,3
9,5
8,5
6,5
15,4
16,5
21,5
10,1
31,4
7,1
10,5
6,5
14,5
8,4
10,5
9,3
9,5
14,5
15,4
10,4
25,3
26,5
11,4
7,5
21,5
5,1
3,5
8,3
7,5
5,4
7,4
7,4
25,5
11,4
6,5
12,5
20,5
19,5
7,4
15,4
17,5
11,4
1,3
15,5
14,4
5,5
8,3
26,2
3,4
14,5
3,5
4,4
12,5
22,5
15,4
13,5
10,5
6,5
17,5
9,4
15,5
27,1
42,4
8,5
7,5
25,5
8,5
12,5
24,1
10,4
6,2
6,5
8,5
9,5
7,5
9,4
13,5
8,5
18,5
5,5
15,5
10,5
9,5
9,5
32,1
7,5
22,5
10,5
17,5
8,5
48,2
1,5
6,5
18,1
3,5
21,4
11,4
7,5
3,5
5,5
14,5
27,4
11,5
7,5
12,5
10,5
25,1
17,5
6,5
31,1
6,4
5,5
19,5
22,5
8,5
4,3
8,5
12,5
27,5
9,4
10,5
32,5
17,5
11,3
11,5
11,5
23,4
18,5
3,5
12,5
7,5
12,5
