seller_id,seller_state,total_orders,avg_delay_days
b92e3c8f9738272ff7c59e111e108d7c,MG,62,-41.91
dd2bdf855a9172734fbc3744021ae9b9,MG,105,-21.84
710e3548e02bc1d2831dfc4f1b5b14d4,PR,131,-21.03
8444e55c1f13cd5c179851e5ca5ebd00,MG,92,-20.38
12b9676b00f60f3b700e83af21824c0e,RS,133,-20.26
4e17c65a516f69d023a2ae78b84f28d6,SP,61,-19.91
b372ee768ed69e46ca8cdbd267aa7a38,SP,63,-18.39
e882b2a25a10b9c057cc49695f222c19,RJ,57,-17.95
e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,80,-17.84
d98eec89afa3380e14463da2aabaea72,RS,168,-17.73
