seller_state,customer_state,total_orders,avg_delay_days
SP,RO,169,19.01
RS,MG,188,18.68
RS,SP,673,17.67
DF,MG,103,17.30
MG,RS,281,16.23
MG,PR,367,15.38
SC,MG,434,15.06
PR,MG,827,14.45
MG,PE,110,14.42
PR,SP,2959,14.31
RS,SC,117,14.18
RJ,GO,109,14.14
RS,RJ,246,14.04
SC,SP,1330,13.84
SP,MT,653,13.71
SC,PR,287,13.59
PR,DF,151,13.59
SP,RS,3613,13.53
SP,PA,683,13.40
GO,SP,126,13.22
RJ,PR,204,12.93
SP,PE,1134,12.89
RJ,ES,100,12.87
SC,RJ,474,12.84
PR,RJ,978,12.80
PR,RS,587,12.73
MG,SP,2578,12.67
RS,PR,141,12.62
MG,RJ,1145,12.48
MG,SC,253,12.45
PR,ES,110,12.36
RJ,SC,113,12.29
DF,SP,308,12.29
SP,PR,3130,12.25
RJ,RJ,961,12.24
SP,RN,334,12.22
MG,GO,151,12.20
RJ,MG,557,12.19
MG,DF,189,12.14
PE,SP,104,12.06
SP,PB,337,11.99
BA,SP,138,11.97
MG,ES,175,11.87
SP,MG,7469,11.86
ES,SP,100,11.79
MG,MG,1539,11.63
SC,RS,297,11.61
PR,PR,717,11.50
PR,SC,392,11.36
SP,DF,1386,10.85
SP,TO,198,10.85
RJ,SP,1339,10.84
SP,GO,1424,10.72
RJ,RS,200,10.59
RS,RS,289,10.42
SP,CE,970,10.33
SP,RJ,8188,10.27
SC,SC,258,10.25
MG,BA,368,10.19
SP,SC,2336,10.14
SP,BA,2313,10.08
RJ,BA,135,9.95
SP,PI,329,9.83
SP,MS,478,9.53
PR,BA,144,9.45
SP,SP,30829,9.29
MA,SP,124,8.83
SP,MA,493,8.77
SP,ES,1467,8.74
SP,SE,208,8.56
SP,AL,256,7.49
